bundle,spm,ok,durationSec,measuredSpm,measuredWpm,derivedBaseSpm,sttScore,elapsedMs,error,url
AWS-Justin-Default,90,True,11.136,123.9,97.0,210.9,,954,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/58ad143a-71d7-4e0a-b099-71204c62b2f1.mp3
AWS-Justin-Default,110,True,9.024,152.9,119.7,208.9,,856,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/0f45561a-a940-4685-839f-13a870439836.mp3
AWS-Justin-Default,130,True,7.728,178.6,139.8,211.4,,654,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/d3e62b3c-c404-49f6-bc8b-d696ab4d8643.mp3
AWS-Justin-Default,145,True,6.936,199.0,155.7,211.6,,694,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/f51a2a73-4f45-41c5-ac62-c8f2b445ab2e.mp3
AWS-Justin-Default,180,True,5.64,244.7,191.5,213.6,,608,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/c8e2baf4-6a06-43a3-ba96-1052a8d9e7e1.mp3
AWS-Justin-Default,195,True,5.232,263.8,206.4,214.7,,559,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/83c9d55f-eaed-4c88-91da-e1d7022a924b.mp3
AWS-Justin-Default,220,True,4.656,296.4,232.0,215.6,,607,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/7b46af74-1214-4e95-8c45-28811dd53379.mp3
AWS-Justin-Default,250,True,4.128,334.3,261.6,217.2,,552,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/20e86024-588f-4418-8386-70810af4de6b.mp3
AZ-TuningAna-Default,base,True,6.408,215.4,168.5,,,1266,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/5d2a60a1-e846-4ff4-803e-4fe8fc0f92e0.mp3
AZ-TuningAna-Default,163,True,5.868,235.2,184.0,149.3,,1858,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/bf09c135-64ed-4df9-9725-739c0db7f889.mp3
AZ-TuningAna-Default,90,True,10.584,130.4,102.0,148.7,,835,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/afb0e7e3-3c7b-45bd-8367-ff570c1bf61e.mp3
AZ-TuningAna-Default,110,True,8.676,159.1,124.5,148.9,,700,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/bfaf074a-f2a5-494a-bffc-3168c0c00f86.mp3
AZ-TuningAna-Default,130,True,7.344,187.9,147.1,149.0,,1889,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/f2f3f553-0a3e-48d1-a0e2-77feed59c5a3.mp3
AZ-TuningAna-Default,145,True,6.588,209.5,163.9,149.1,,772,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/3a2e1a44-208e-4dbc-a64d-ad9c6af6e150.mp3
AZ-TuningAna-Default,180,True,5.328,259.0,202.7,149.7,,656,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/f9989314-dd21-48eb-b4d9-3291b6081adb.mp3
AZ-TuningAna-Default,195,True,4.932,279.8,219.0,150.1,,1033,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/b76a5fa9-8747-49e0-b5a7-18968dabfa50.mp3
AZ-TuningAna-Default,220,True,4.356,316.8,247.9,149.6,,967,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/23e25458-c099-4a3d-b863-695db5c72e6e.mp3
AZ-TuningAna-Default,250,True,3.852,358.3,280.4,150.3,,1119,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/2888478d-bc41-467c-bff5-de90f4e5edb7.mp3
AZ-TuningEvelyn-Default,base,True,5.688,242.6,189.9,,,1722,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/9c9ec134-4f10-4cea-ad09-42caaa0fad8c.mp3
AZ-TuningEvelyn-Default,163,True,5.688,242.6,189.9,163.0,,1454,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/333e4944-a39f-4039-8e53-b6d5bd83ecc1.mp3
AZ-TuningEvelyn-Default,90,True,10.224,135.0,105.6,161.8,,1239,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/2f55b414-151f-4242-8473-962c24c9c866.mp3
AZ-TuningEvelyn-Default,110,True,8.388,164.5,128.8,162.2,,1473,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/7590bd0e-ad43-4139-8a99-e5daf575ad35.mp3
AZ-TuningEvelyn-Default,130,True,7.092,194.6,152.3,162.1,,1379,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/afc14fc3-fd51-428d-bbdf-32dd5ebf5d8d.mp3
AZ-TuningEvelyn-Default,145,True,6.372,216.6,169.5,162.4,,1216,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/47f694d4-763e-4533-a367-9403f1307097.mp3
AZ-TuningEvelyn-Default,180,True,5.148,268.1,209.8,162.9,,1476,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/bc844254-9a23-41f2-b778-b28377aa30ee.mp3
AZ-TuningEvelyn-Default,195,True,4.752,290.4,227.3,162.9,,1465,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/d95c403b-6185-4d47-9d9d-c4b0ea646cac.mp3
AZ-TuningEvelyn-Default,220,True,4.248,324.9,254.2,164.3,,1240,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/5e858e26-ba13-4a0d-a6bb-33b6aba3ddfe.mp3
AZ-TuningEvelyn-Default,250,True,3.744,368.6,288.5,164.6,,1337,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/58a66c3d-5c3d-470b-af16-c76571f7dc81.mp3
GEMINI-Rasalgethi-Default,base,True,6.624,208.3,163.0,,,6919,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/37abd5f8-e17d-47c0-b149-d565b06319e0.mp3
GEMINI-Rasalgethi-Default,163,True,7.296,189.1,148.0,179.5,,7101,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/99d120c7-64b2-471d-a310-e856c336b147.mp3
GEMINI-Rasalgethi-Default,90,True,12.672,108.9,85.2,172.2,,7414,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/48994aad-5285-4b98-858e-4f721acaf961.mp3
GEMINI-Rasalgethi-Default,110,True,11.448,120.5,94.3,190.1,,7138,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/5614306c-edbd-4f16-9c7f-4b146b402c85.mp3
GEMINI-Rasalgethi-Default,130,True,11.664,118.3,92.6,228.9,,7799,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/9262c62e-fb8b-4833-aef8-34cdd5e38834.mp3
GEMINI-Rasalgethi-Default,145,True,8.472,162.9,127.5,185.5,,6891,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/b157d0fb-b0f5-4339-b5db-02cd54420478.mp3
GEMINI-Rasalgethi-Default,180,True,7.104,194.3,152.0,193.0,,8231,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/1cd63447-4270-4f80-90e8-c3ecb3fc4f53.mp3
GEMINI-Rasalgethi-Default,195,True,6.432,214.6,167.9,189.3,,7577,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/02265982-88bf-4e40-b3b7-146780260f64.mp3
GEMINI-Rasalgethi-Default,220,True,5.208,265.0,207.4,173.0,,7036,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/f1fe77f1-7a68-4378-8943-35fe15dcbf2b.mp3
GEMINI-Rasalgethi-Default,250,True,5.088,271.2,212.3,192.0,,7982,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/598f0e28-9841-427a-a0f9-a1b1947cb832.mp3
GEMINI-Rasalgethi-Cheerful,base,True,5.832,236.6,185.2,,,5950,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/1a2099d9-3215-4d0f-90b4-9e9625943d55.mp3
GEMINI-Rasalgethi-Cheerful,163,True,7.128,193.6,151.5,199.2,,6461,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/4ca9e9f8-df92-4cde-b8d8-b3281b0100c5.mp3
GEMINI-Rasalgethi-Cheerful,90,True,13.032,105.9,82.9,201.1,,6842,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/d77bc66a-e37e-43bd-9392-9479abeb0080.mp3
GEMINI-Rasalgethi-Cheerful,110,True,11.04,125.0,97.8,208.2,,7194,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a40e8450-7ae9-42be-9116-399a7252ad77.mp3
GEMINI-Rasalgethi-Cheerful,130,True,9.0,153.3,120.0,200.6,,7012,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/1e284301-da56-427a-a50b-57061da8d2c2.mp3
GEMINI-Rasalgethi-Cheerful,145,True,8.208,168.1,131.6,204.1,,6751,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/6d2ab6e5-e7ae-415d-8138-03320780242d.mp3
GEMINI-Rasalgethi-Cheerful,180,True,6.024,229.1,179.3,185.9,,6596,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/1d569243-0c4e-4508-9fe8-12daf381da9f.mp3
GEMINI-Rasalgethi-Cheerful,195,True,6.936,199.0,155.7,231.9,,7410,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/3717fb08-dda3-472b-8611-65675fee4794.mp3
GEMINI-Rasalgethi-Cheerful,220,True,5.136,268.7,210.3,193.7,,6630,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/b5501357-7b21-4b8e-b0d0-90c34f825784.mp3
GEMINI-Rasalgethi-Cheerful,250,True,5.16,267.4,209.3,221.2,,7109,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a3040a01-66c5-4683-a676-885eee6b787d.mp3
GEMINI-Rasalgethi-Gentle,base,True,7.944,173.7,136.0,,,7073,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/c377327e-ac7e-44b8-bb9b-115d6ca65cda.mp3
GEMINI-Rasalgethi-Gentle,163,True,7.848,175.8,137.6,161.0,,7455,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/3a65285c-b056-4003-b3d3-cf4fb7549cdc.mp3
GEMINI-Rasalgethi-Gentle,90,True,12.576,109.7,85.9,142.5,,8263,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/0dea5abe-578b-4b6f-9851-f2c6d787f8c5.mp3
GEMINI-Rasalgethi-Gentle,110,True,11.472,120.3,94.1,158.9,,7217,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a69f91be-68bc-459b-b164-9a251acb596a.mp3
GEMINI-Rasalgethi-Gentle,130,True,9.072,152.1,119.0,148.5,,7116,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/cf935f2c-0c65-4120-814a-d5dca5c106b2.mp3
GEMINI-Rasalgethi-Gentle,145,True,12.048,114.5,89.6,219.9,,9864,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/eb1c3c34-b006-4351-a634-952809afd765.mp3
GEMINI-Rasalgethi-Gentle,180,True,6.552,210.6,164.8,148.5,,7549,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/f0457c7e-7719-4bdf-9d70-a9ff25c91375.mp3
GEMINI-Rasalgethi-Gentle,195,True,7.008,196.9,154.1,172.0,,7234,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/4c1b72d7-7d63-4db8-b277-a1a05729fe55.mp3
GEMINI-Rasalgethi-Gentle,220,True,7.008,196.9,154.1,194.1,,8111,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/39760827-152a-4563-ae66-1f73bcc0cb3f.mp3
GEMINI-Rasalgethi-Gentle,250,True,5.088,271.2,212.3,160.1,,7500,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/bf15c015-03ca-4957-aab2-887a2642696d.mp3
GEMINI-Puck-Default,base,True,10.632,129.8,101.6,,,9723,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/ba99506b-9fd8-4642-a2df-36e7b16e76a7.mp3
GEMINI-Puck-Default,163,True,7.584,182.0,142.4,116.3,,7376,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/3dd8c795-0530-46da-b868-d0af8ad87d9d.mp3
GEMINI-Puck-Default,90,True,12.336,111.9,87.5,104.4,,6825,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/18e088b1-25ca-4962-9f31-2721459345e0.mp3
GEMINI-Puck-Default,110,True,10.992,125.5,98.3,113.7,,7226,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/6af30d81-566a-404a-9c00-fe00cfacc2fa.mp3
GEMINI-Puck-Default,130,True,10.248,134.7,105.4,125.3,,7655,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/d4000095-18aa-44d2-ae1c-20e9688f8473.mp3
GEMINI-Puck-Default,145,True,8.136,169.6,132.7,111.0,,7067,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/9ea36b5b-1ba2-4a4d-b20a-e2e9daabbb28.mp3
GEMINI-Puck-Default,180,True,6.096,226.4,177.2,103.2,,6617,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/b34b1a9e-db9e-45e9-8844-19ea67fea546.mp3
GEMINI-Puck-Default,195,True,6.48,213.0,166.7,118.8,,8538,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/c9f41888-6afa-43ab-9e77-ec8428bc60e1.mp3
GEMINI-Puck-Default,220,True,5.304,260.2,203.6,109.8,,6967,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a7c83246-d1a9-4e39-8222-575bb9e28e80.mp3
GEMINI-Puck-Default,250,True,4.224,326.7,255.7,99.3,,6604,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/2f330bae-694b-4b40-b572-532096f96a71.mp3
GEMINI-Puck-Cheerful,base,True,7.632,180.8,141.5,,,7068,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/1e0e073f-1c29-4f95-8382-76896ce31a08.mp3
GEMINI-Puck-Cheerful,163,True,7.368,187.3,146.6,157.4,,6613,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/cc8ddb62-4d40-44f8-b2a4-d469ebb5ec17.mp3
GEMINI-Puck-Cheerful,90,True,12.24,112.7,88.2,144.3,,6326,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/aeaa7867-3bdf-4f99-a76f-d4a30dd48805.mp3
GEMINI-Puck-Cheerful,110,True,10.896,126.7,99.1,157.0,,6480,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/cf9c2d3a-ee4f-43bf-8c36-b2a9fc1c2af6.mp3
GEMINI-Puck-Cheerful,130,True,9.24,149.4,116.9,157.4,,6730,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/109c5b35-8017-4018-8540-a9967783370f.mp3
GEMINI-Puck-Cheerful,145,True,7.608,181.4,142.0,144.5,,6845,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/a6397fae-b6c3-4789-9ad9-11f33dc1555e.mp3
GEMINI-Puck-Cheerful,180,True,8.304,166.2,130.1,195.8,,8169,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/dbcb4b4c-8507-4446-9877-039ffe07d1b5.mp3
GEMINI-Puck-Cheerful,195,True,5.952,231.9,181.5,152.1,,6609,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/5d940518-ffe6-4a70-853c-e5d534399717.mp3
GEMINI-Puck-Cheerful,220,True,5.112,270.0,211.3,147.4,,7321,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/e8870ff0-49dd-4008-9e6c-5f857ceabe00.mp3
GEMINI-Puck-Cheerful,250,True,5.544,248.9,194.8,181.6,,7430,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/c2a9afb4-aa4e-4ab3-baf6-b19f4d52ce4a.mp3
GEMINI-Puck-Gentle,base,True,7.464,184.9,144.7,,,7467,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/e9915aa1-9c47-4d0c-8de2-e80769b00841.mp3
GEMINI-Puck-Gentle,163,True,13.296,103.8,81.2,290.4,,11369,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/778131c1-02cb-470e-b816-84b7200c7950.mp3
GEMINI-Puck-Gentle,90,True,10.44,132.2,103.4,125.9,,6627,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/29afa1ea-568f-4d55-88f8-309820eb342e.mp3
GEMINI-Puck-Gentle,110,True,9.792,140.9,110.3,144.3,,8033,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/bdbc34f2-91a7-445d-a32f-63d60e6194d4.mp3
GEMINI-Puck-Gentle,130,True,10.344,133.4,104.4,180.2,,9137,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/d562ed30-3ef3-4655-83e5-6c2296e334d0.mp3
GEMINI-Puck-Gentle,145,True,7.2,191.7,150.0,139.9,,8386,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/e4c5f364-ddc8-458b-ae15-b9dc5ba5168e.mp3
GEMINI-Puck-Gentle,180,True,6.72,205.4,160.7,162.1,,8383,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/c8b18ac5-21f9-4141-a008-d8d299547850.mp3
GEMINI-Puck-Gentle,195,True,5.88,234.7,183.7,153.6,,7138,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/f983c9bb-525e-4b19-90a9-ec0723d1a91d.mp3
GEMINI-Puck-Gentle,220,True,5.424,254.4,199.1,159.9,,7037,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/c35d22c0-a165-40b0-b541-15d0871dc951.mp3
GEMINI-Puck-Gentle,250,True,5.616,245.7,192.3,188.1,,8195,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/4b33b49c-4c18-4d6d-9ddb-82dcb57345ea.mp3
GEMINI-Fenrir-Default,base,True,8.112,170.1,133.1,,,7420,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/7e655d92-0cb4-4ee0-9249-15da7b2c33fd.mp3
GEMINI-Fenrir-Default,163,True,9.24,149.4,116.9,185.7,,8884,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/b7a93ef0-23a6-4858-bce1-3ae186d72822.mp3
GEMINI-Fenrir-Default,90,True,18.6,74.2,58.1,206.4,,9951,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/fcbc5801-b13b-41af-be24-63509c597b8a.mp3
GEMINI-Fenrir-Default,110,True,11.52,119.8,93.8,156.2,,7608,,https://speech-tts-contents-stage.spindlebooks.com/audio/PLAYGROUND/000/000/000/000/0/00/00/02/0d9a694c-2982-42b9-b507-31b2d15e2f3a.mp3
